week,Pulse Anxiety,Pulse Depression,Pulse Medication,Pulse Therapy,Pulse Needed Treatment,SSD Anxiety,SSD Depression,SSD Suicidal Ideation,NSSP Disaster related mental health ED visits,NSSP Suicidal attempt ED visits
2020-04-12,NA,NA,NA,NA,NA,9.26,5.4,0.48,30340,4123
2020-04-19,NA,NA,NA,NA,NA,9.54,5.39,0.49,32493,4324
2020-04-26,0.2967267301540213,0.185994959895699,NA,NA,NA,9.71,5.6,0.53,33716,4314
2020-05-03,0.2898716853875295,0.20297576697099726,NA,NA,NA,9.46,5.49,0.49,35780,4637
2020-05-10,0.2699046298911676,0.19972339483018456,NA,NA,NA,9.49,5.5,0.5,36449,4693
2020-05-17,0.2827415782973332,0.20664586818556577,NA,NA,NA,9.43,5.43,0.49,38599,4753
2020-05-24,0.29105192151960796,0.2096029709383233,NA,NA,NA,8.95,5.23,0.49,40132,4716
2020-05-31,0.29791310871000465,0.21573571210036474,NA,NA,NA,8.89,5.01,0.47,40978,4858
2020-06-07,0.300556925641327,0.20806992845830957,NA,NA,NA,9.46,5.44,0.52,42556,4946
2020-06-14,0.2950053954541901,0.21339444403348512,NA,NA,NA,9.5,5.55,0.54,42666,4933
2020-06-21,0.31286441000918713,0.21983202029608623,NA,NA,NA,9.57,6.21,0.51,44122,5026
2020-06-28,0.32307755405876093,0.22688538907288078,NA,NA,NA,9.34,5.7,0.52,42425,4925
2020-07-05,0.33808714770925835,0.23291128464029318,NA,NA,NA,9.79,5.64,0.52,44883,5307
2020-07-12,0.338965083640623,0.24842042729425598,NA,NA,NA,9.74,5.56,0.52,44237,5337
2020-07-19,NA,NA,NA,NA,NA,9.83,5.75,0.53,43580,5197
2020-07-26,NA,NA,NA,NA,NA,9.76,5.68,0.51,43412,5257
2020-08-02,NA,NA,NA,NA,NA,9.68,5.65,0.53,43708,5182
2020-08-09,NA,NA,NA,NA,NA,9.84,5.52,0.5,44534,5267
2020-08-16,NA,NA,NA,NA,NA,9.88,5.59,0.49,44735,5225
2020-08-23,0.3027256904570028,0.1990144936051594,0.1935797818142238,0.08748684388807138,0.09167282186001063,9.9,5.48,0.49,45194,5525
2020-08-30,NA,NA,NA,NA,NA,9.97,5.74,0.56,44973,5467
2020-09-06,0.3019523430483854,0.20122758758366352,0.1963546261352266,0.09090618314344642,0.09683258652222139,10.19,5.8,0.69,44947,5593
2020-09-13,NA,NA,NA,NA,NA,10.33,5.96,0.57,45618,5585
2020-09-20,0.3142396995106747,0.2042955792559124,0.1978766826370168,0.09030212977446493,0.10415824230190399,10.27,5.98,0.57,44265,5606
2020-09-27,NA,NA,NA,NA,NA,10.12,5.87,0.54,43674,5410
2020-10-04,0.3127856062466139,0.2061483988455745,0.1950287324126351,0.09047048558906577,0.09717044398515091,10.31,6.1,0.55,41054,5155
2020-10-11,NA,NA,NA,NA,NA,10.23,6.03,0.54,NA,NA
2020-10-18,0.31639312837237804,0.21572804016496022,0.20243456985105535,0.09998320718741664,0.10552222747568965,10.62,6.12,0.54,NA,NA
2020-10-25,NA,NA,NA,NA,NA,11.49,7.01,0.54,NA,NA
2020-11-01,0.3508162298130897,0.2276602382977557,0.2084249318942753,0.0979591177834772,0.11238259155434117,11.19,6.75,0.5,NA,NA
2020-11-08,NA,NA,NA,NA,NA,10.74,6.61,0.57,NA,NA
2020-11-15,0.3615447368743334,0.23615843723875746,0.21597672567515155,0.09891328772934746,0.11143619039419916,10.72,6.68,0.58,NA,NA
2020-11-22,NA,NA,NA,NA,NA,9.37,5.75,0.5,NA,NA
2020-11-29,0.34903145054350654,0.23336244821026816,0.21411046873749034,0.10083099082693898,0.11975587941366672,10.57,6.43,0.55,NA,NA
2020-12-06,NA,NA,NA,NA,NA,10.64,6.59,0.53,NA,NA
2020-12-13,0.3555713119645562,0.24894279260222713,0.21805592400602353,0.10193556986473583,0.12423581941772367,10.1,6.16,0.49,NA,NA
2020-12-20,NA,NA,NA,NA,NA,8.56,5.14,0.42,NA,NA
2020-12-27,NA,NA,NA,NA,NA,9.33,5.46,0.42,NA,NA
2021-01-10,0.3490898157324148,0.23324952297353366,0.2072416904280904,0.09634168447764083,0.11384507082722754,10.26,5.8,0.47,NA,NA
2021-01-17,NA,NA,NA,NA,NA,10.26,5.95,0.48,NA,NA
2021-01-24,0.348195924865671,0.23177112042479253,0.2119849962623249,0.0977423400269041,0.11678085408296429,10.58,6.1,0.51,NA,NA
2021-01-31,NA,NA,NA,NA,NA,10.56,6.2,0.52,NA,NA
2021-02-07,0.3248232630563248,0.2249824841506666,0.20777429505985187,0.10282289304422496,0.11466640389362254,10.47,6.25,0.54,NA,NA
2021-02-14,NA,NA,NA,NA,NA,10.46,6.35,0.52,NA,NA
2021-02-21,0.32180328756724175,0.226998019814893,0.21144274652225012,0.10315412891524016,0.11855911736244515,10.84,6.44,0.55,NA,NA
2021-02-28,NA,NA,NA,NA,NA,11.45,7.02,0.54,NA,NA
2021-03-07,0.30517449523786544,0.21714443685619322,0.2114636953814603,0.10560789041868131,0.1171835976484213,11.05,6.7,0.55,NA,NA
2021-03-14,NA,NA,NA,NA,NA,10.79,6.48,0.52,NA,NA
2021-03-21,0.29249733531442396,0.20285651664869514,0.20589989088037072,0.10101830742759985,0.11119569841593618,11.22,6.66,0.55,NA,NA
2021-03-28,NA,NA,NA,NA,NA,11.59,7.11,0.51,NA,NA
2021-04-04,NA,NA,NA,NA,NA,10.53,6.3,0.53,NA,NA
